# IRI ion data (2026-06-22T17:00:00 UTC, lat=38.983 lon=-76.850)
# Altitude_km ne Ti Te nO+ nO2+ nNO+ nN+
2.470000e+02 9.141050e+11 7.886707e+02 1.869472e+03 8.941077e+11 4.358331e+09 5.809842e+09 6.596778e+09
2.480000e+02 9.116140e+11 7.900939e+02 1.876347e+03 8.923634e+11 4.144943e+09 5.507108e+09 6.530129e+09
2.490000e+02 9.090333e+11 7.915171e+02 1.883220e+03 8.904934e+11 3.942103e+09 5.221026e+09 6.464461e+09
2.500000e+02 9.063774e+11 7.929404e+02 1.890093e+03 8.885141e+11 3.749284e+09 4.950616e+09 6.399833e+09
2.510000e+02 9.036404e+11 7.943636e+02 1.896966e+03 8.864217e+11 3.565974e+09 4.695014e+09 6.336255e+09
2.520000e+02 9.008244e+11 7.957868e+02 1.903838e+03 8.842193e+11 3.391755e+09 4.453392e+09 6.273667e+09
2.530000e+02 8.979289e+11 7.972101e+02 1.910710e+03 8.819081e+11 3.226150e+09 4.224955e+09 6.212092e+09
2.540000e+02 8.949551e+11 7.986333e+02 1.917581e+03 8.794910e+11 3.068733e+09 4.008961e+09 6.151541e+09
2.550000e+02 8.919075e+11 8.000565e+02 1.924452e+03 8.769735e+11 2.919100e+09 3.804708e+09 6.092020e+09
2.560000e+02 8.887860e+11 8.014797e+02 1.931323e+03 8.743569e+11 2.776862e+09 3.611524e+09 6.033521e+09
2.570000e+02 8.855916e+11 8.029030e+02 1.938194e+03 8.716436e+11 2.641655e+09 3.428796e+09 5.976044e+09
2.580000e+02 8.823267e+11 8.043262e+02 1.945065e+03 8.688370e+11 2.513129e+09 3.255928e+09 5.919590e+09
2.590000e+02 8.789897e+11 8.057495e+02 1.951935e+03 8.659368e+11 2.390953e+09 3.092370e+09 5.864141e+09
2.600000e+02 8.755819e+11 8.071727e+02 1.958806e+03 8.629451e+11 2.274815e+09 2.937601e+09 5.809692e+09
2.610000e+02 8.721096e+11 8.085959e+02 1.965676e+03 8.598697e+11 2.164412e+09 2.791119e+09 5.756252e+09
2.620000e+02 8.685710e+11 8.100192e+02 1.972546e+03 8.567089e+11 2.059455e+09 2.652456e+09 5.703804e+09
2.630000e+02 8.649675e+11 8.114424e+02 1.979417e+03 8.534659e+11 1.959682e+09 2.521187e+09 5.652341e+09
2.640000e+02 8.612972e+11 8.128656e+02 1.986287e+03 8.501392e+11 1.864832e+09 2.396895e+09 5.601840e+09
2.650000e+02 8.575684e+11 8.142889e+02 1.993157e+03 8.467380e+11 1.774656e+09 2.279178e+09 5.552313e+09
2.660000e+02 8.537788e+11 8.157121e+02 2.000027e+03 8.432608e+11 1.688927e+09 2.167679e+09 5.503739e+09
2.670000e+02 8.499296e+11 8.171353e+02 2.006897e+03 8.397097e+11 1.607420e+09 2.062051e+09 5.456113e+09
2.680000e+02 8.460222e+11 8.185586e+02 2.013767e+03 8.360864e+11 1.529925e+09 1.961963e+09 5.409407e+09
2.690000e+02 8.420604e+11 8.199818e+02 2.020637e+03 8.323957e+11 1.456244e+09 1.867110e+09 5.363626e+09
2.700000e+02 8.380385e+11 8.214050e+02 2.027508e+03 8.286326e+11 1.386189e+09 1.777206e+09 5.318732e+09
2.710000e+02 8.339672e+11 8.228282e+02 2.034378e+03 8.248082e+11 1.319574e+09 1.691967e+09 5.274737e+09
2.720000e+02 8.298448e+11 8.242515e+02 2.041248e+03 8.209215e+11 1.256232e+09 1.611143e+09 5.231617e+09
2.730000e+02 8.256694e+11 8.256747e+02 2.048118e+03 8.169711e+11 1.195999e+09 1.534489e+09 5.189349e+09
2.740000e+02 8.214442e+11 8.270980e+02 2.054988e+03 8.129608e+11 1.138719e+09 1.461775e+09 5.147919e+09
2.750000e+02 8.171735e+11 8.285212e+02 2.061858e+03 8.088952e+11 1.084247e+09 1.392786e+09 5.107316e+09
2.760000e+02 8.128557e+11 8.299445e+02 2.068728e+03 8.047734e+11 1.032440e+09 1.327316e+09 5.067516e+09
2.770000e+02 8.084936e+11 8.313677e+02 2.075598e+03 8.005987e+11 9.831688e+08 1.265174e+09 5.028507e+09
2.780000e+02 8.040877e+11 8.327909e+02 2.082468e+03 7.963716e+11 9.363052e+08 1.206179e+09 4.990268e+09
2.790000e+02 7.996401e+11 8.342142e+02 2.089338e+03 7.920952e+11 8.917306e+08 1.150161e+09 4.952778e+09
2.800000e+02 7.951484e+11 8.356374e+02 2.096208e+03 7.877670e+11 8.493304e+08 1.096958e+09 4.916009e+09
2.810000e+02 7.906217e+11 8.370606e+02 2.103078e+03 7.833966e+11 8.089962e+08 1.046416e+09 4.879964e+09
2.820000e+02 7.860558e+11 8.384838e+02 2.109948e+03 7.789804e+11 7.706261e+08 9.983951e+08 4.844607e+09
