# Altitude_km Temperature_K Density_kg_m3 Pressure_Pa Pressure_Torr Orbital_Velocity_m_s Number_Density_per_m3 n_N2 n_O2 n_O n_He n_Ar n_N
1.192200e+02 3.652877e+02 2.106676e-08 2.208973e-03 1.656870e-05 7.832580e+03 4.379978e+17 3.283956e+17 3.928130e+16 1.352703e+17 3.775400e+13 1.646871e+15 5.949034e+12
1.196800e+02 3.728572e+02 1.987308e-08 2.126989e-03 1.595378e-05 7.832303e+03 4.131801e+17 3.091698e+17 3.633693e+16 1.301907e+17 3.681650e+13 1.527089e+15 6.213210e+12
1.201400e+02 3.804881e+02 1.876748e-08 2.049767e-03 1.537456e-05 7.832026e+03 3.901936e+17 2.913771e+17 3.365186e+16 1.253724e+17 3.591513e+13 1.417725e+15 6.488320e+12
1.206000e+02 3.881722e+02 1.774274e-08 1.976982e-03 1.482862e-05 7.831749e+03 3.688884e+17 2.748993e+17 3.120142e+16 1.208032e+17 3.504874e+13 1.317773e+15 6.774758e+12
1.210600e+02 3.959010e+02 1.679196e-08 1.908295e-03 1.431343e-05 7.831472e+03 3.491207e+17 2.596227e+17 2.896299e+16 1.164689e+17 3.421624e+13 1.226304e+15 7.072928e+12
1.215200e+02 4.036655e+02 1.590883e-08 1.843391e-03 1.382661e-05 7.831194e+03 3.307597e+17 2.454447e+17 2.691601e+16 1.123556e+17 3.341642e+13 1.142494e+15 7.383243e+12
1.219800e+02 4.114560e+02 1.508805e-08 1.782026e-03 1.336633e-05 7.830917e+03 3.136947e+17 2.322786e+17 2.504249e+16 1.084527e+17 3.264837e+13 1.065649e+15 7.706097e+12
1.224400e+02 4.192624e+02 1.432446e-08 1.723938e-03 1.293064e-05 7.830640e+03 2.978191e+17 2.200404e+17 2.332580e+16 1.047490e+17 3.191107e+13 9.951110e+14 8.042060e+12
1.229000e+02 4.270739e+02 1.361342e-08 1.668890e-03 1.251774e-05 7.830363e+03 2.830358e+17 2.086536e+17 2.175122e+16 1.012333e+17 3.120347e+13 9.303442e+14 8.391541e+12
1.233600e+02 4.348795e+02 1.295073e-08 1.616668e-03 1.212604e-05 7.830086e+03 2.692580e+17 1.980503e+17 2.030533e+16 9.789555e+16 3.052475e+13 8.708261e+14 8.755115e+12
1.238200e+02 4.426674e+02 1.233264e-08 1.567081e-03 1.175410e-05 7.829809e+03 2.564073e+17 1.881702e+17 1.897668e+16 9.472378e+16 2.987389e+13 8.160800e+14 9.132714e+12
1.242800e+02 4.504260e+02 1.175537e-08 1.519907e-03 1.140027e-05 7.829532e+03 2.444052e+17 1.789537e+17 1.775414e+16 9.170311e+16 2.925009e+13 7.656461e+14 9.524446e+12
1.247400e+02 4.581425e+02 1.121596e-08 1.475008e-03 1.106350e-05 7.829255e+03 2.331903e+17 1.703523e+17 1.662841e+16 8.882749e+16 2.865258e+13 7.191456e+14 9.930871e+12
1.252000e+02 4.658046e+02 1.071152e-08 1.432228e-03 1.074262e-05 7.828978e+03 2.227025e+17 1.623184e+17 1.559077e+16 8.608934e+16 2.808040e+13 6.762300e+14 1.035251e+13
1.256600e+02 4.734066e+02 1.023918e-08 1.391416e-03 1.043651e-05 7.828701e+03 2.128822e+17 1.548045e+17 1.463312e+16 8.348085e+16 2.753248e+13 6.365627e+14 1.078977e+13
1.261200e+02 4.809483e+02 9.796397e-09 1.352453e-03 1.014426e-05 7.828425e+03 2.036764e+17 1.477695e+17 1.374816e+16 8.099357e+16 2.700735e+13 5.998522e+14 1.124297e+13
1.265800e+02 4.884304e+02 9.380811e-09 1.315227e-03 9.865037e-06 7.828148e+03 1.950359e+17 1.411744e+17 1.292926e+16 7.862072e+16 2.650355e+13 5.658274e+14 1.171232e+13
1.270400e+02 4.958533e+02 8.990218e-09 1.279620e-03 9.597964e-06 7.827871e+03 1.869152e+17 1.349838e+17 1.217060e+16 7.635400e+16 2.601985e+13 5.342494e+14 1.219816e+13
1.275000e+02 5.032175e+02 8.622731e-09 1.245541e-03 9.342353e-06 7.827594e+03 1.792747e+17 1.291667e+17 1.146682e+16 7.418752e+16 2.555513e+13 5.049002e+14 1.270075e+13
1.279600e+02 5.105235e+02 8.276566e-09 1.212896e-03 9.097491e-06 7.827318e+03 1.720776e+17 1.236937e+17 1.081327e+16 7.211555e+16 2.510836e+13 4.775932e+14 1.322035e+13
1.284200e+02 5.177717e+02 7.950143e-09 1.181601e-03 8.862758e-06 7.827041e+03 1.652910e+17 1.185394e+17 1.020560e+16 7.013219e+16 2.467842e+13 4.521526e+14 1.375721e+13
1.288800e+02 5.249627e+02 7.642003e-09 1.151577e-03 8.637565e-06 7.826764e+03 1.588844e+17 1.136801e+17 9.639988e+15 6.823224e+16 2.426449e+13 4.284249e+14 1.431161e+13
1.293400e+02 5.320967e+02 7.350837e-09 1.122755e-03 8.421377e-06 7.826488e+03 1.528308e+17 1.090941e+17 9.112956e+15 6.641143e+16 2.386568e+13 4.062680e+14 1.488385e+13
1.298000e+02 5.391746e+02 7.075430e-09 1.095065e-03 8.213684e-06 7.826211e+03 1.471049e+17 1.047620e+17 8.621394e+15 6.466473e+16 2.348116e+13 3.855576e+14 1.547413e+13
1.302600e+02 5.461963e+02 6.814707e-09 1.068448e-03 8.014043e-06 7.825934e+03 1.416842e+17 1.006661e+17 8.162481e+15 6.298850e+16 2.311025e+13 3.661783e+14 1.608267e+13
