# IRI ion data (2011-04-10T00:00:00 UTC, lat=40.793 lon=-77.860)
# Altitude_km ne Ti Te nO+ nO2+ nNO+ nN+
2.240000e+02 2.059637e+11 9.160160e+02 1.472873e+03 1.671736e+11 1.090174e+10 2.443788e+10 1.722221e+09
2.250000e+02 2.118813e+11 9.177588e+02 1.475465e+03 1.743631e+11 1.050980e+10 2.350510e+10 1.767710e+09
2.260000e+02 2.178417e+11 9.194703e+02 1.478049e+03 1.815716e+11 1.012513e+10 2.259330e+10 1.811364e+09
2.270000e+02 2.238396e+11 9.211509e+02 1.480627e+03 1.887904e+11 9.748931e+09 2.170442e+10 1.853239e+09
2.280000e+02 2.298696e+11 9.228011e+02 1.483199e+03 1.960117e+11 9.382044e+09 2.083990e+10 1.893355e+09
2.290000e+02 2.359260e+11 9.244217e+02 1.485768e+03 2.032281e+11 9.025066e+09 2.000084e+10 1.931715e+09
2.300000e+02 2.420031e+11 9.260131e+02 1.488333e+03 2.104324e+11 8.678399e+09 1.918796e+10 1.968359e+09
2.310000e+02 2.480951e+11 9.275758e+02 1.490896e+03 2.176178e+11 8.342490e+09 1.840182e+10 2.003372e+09
2.320000e+02 2.541958e+11 9.291104e+02 1.493456e+03 2.247774e+11 8.017536e+09 1.764269e+10 2.036809e+09
2.330000e+02 2.602992e+11 9.306174e+02 1.496015e+03 2.319048e+11 7.703607e+09 1.691065e+10 2.068707e+09
2.340000e+02 2.663991e+11 9.320972e+02 1.498572e+03 2.389940e+11 7.400649e+09 1.620549e+10 2.099128e+09
2.350000e+02 2.724892e+11 9.335505e+02 1.501127e+03 2.460386e+11 7.108688e+09 1.552702e+10 2.128190e+09
2.360000e+02 2.785631e+11 9.349776e+02 1.503682e+03 2.530326e+11 6.827598e+09 1.487488e+10 2.155924e+09
2.370000e+02 2.846145e+11 9.363791e+02 1.506236e+03 2.599702e+11 6.557159e+09 1.424851e+10 2.182420e+09
2.380000e+02 2.906368e+11 9.377554e+02 1.508789e+03 2.668455e+11 6.297135e+09 1.364736e+10 2.207737e+09
2.390000e+02 2.966236e+11 9.391069e+02 1.511341e+03 2.736528e+11 6.047327e+09 1.307080e+10 2.231994e+09
2.400000e+02 3.025685e+11 9.404342e+02 1.513894e+03 2.803864e+11 5.807453e+09 1.251817e+10 2.255230e+09
2.410000e+02 3.084650e+11 9.417377e+02 1.516445e+03 2.870406e+11 5.577210e+09 1.198870e+10 2.277532e+09
2.420000e+02 3.143066e+11 9.430178e+02 1.518997e+03 2.936101e+11 5.356274e+09 1.148167e+10 2.298968e+09
2.430000e+02 3.200871e+11 9.442748e+02 1.521548e+03 3.000892e+11 5.144370e+09 1.099631e+10 2.319650e+09
2.440000e+02 3.257999e+11 9.455094e+02 1.524099e+03 3.064726e+11 4.941186e+09 1.053188e+10 2.339609e+09
2.450000e+02 3.314388e+11 9.467219e+02 1.526649e+03 3.127548e+11 4.746382e+09 1.008755e+10 2.358933e+09
2.460000e+02 3.369978e+11 9.479125e+02 1.529200e+03 3.189308e+11 4.559637e+09 9.662589e+09 2.377699e+09
2.470000e+02 3.424706e+11 9.490818e+02 1.531751e+03 3.249954e+11 4.380667e+09 9.256235e+09 2.395966e+09
2.480000e+02 3.478514e+11 9.502303e+02 1.534301e+03 3.309435e+11 4.209155e+09 8.867728e+09 2.413805e+09
2.490000e+02 3.531343e+11 9.513581e+02 1.536852e+03 3.367703e+11 4.044801e+09 8.496345e+09 2.431281e+09
2.500000e+02 3.583137e+11 9.524658e+02 1.539402e+03 3.424709e+11 3.887303e+09 8.141366e+09 2.448463e+09
2.510000e+02 3.633841e+11 9.535536e+02 1.541952e+03 3.480405e+11 3.736553e+09 7.802158e+09 2.465340e+09
2.520000e+02 3.683401e+11 9.546219e+02 1.544502e+03 3.534751e+11 3.591942e+09 7.477922e+09 2.482092e+09
2.530000e+02 3.731767e+11 9.556711e+02 1.547052e+03 3.587701e+11 3.453366e+09 7.168063e+09 2.498730e+09
2.540000e+02 3.778888e+11 9.567016e+02 1.549603e+03 3.639215e+11 3.320561e+09 6.871946e+09 2.515279e+09
2.550000e+02 3.824720e+11 9.577136e+02 1.552153e+03 3.689253e+11 3.193293e+09 6.588973e+09 2.531812e+09
2.560000e+02 3.869216e+11 9.587076e+02 1.554703e+03 3.737777e+11 3.071318e+09 6.318545e+09 2.548360e+09
2.570000e+02 3.912335e+11 9.596838e+02 1.557253e+03 3.784753e+11 2.954411e+09 6.060115e+09 2.564990e+09
2.580000e+02 3.954038e+11 9.606426e+02 1.559803e+03 3.830148e+11 2.842341e+09 5.813123e+09 2.581719e+09
2.590000e+02 3.994287e+11 9.615842e+02 1.562353e+03 3.873933e+11 2.734905e+09 5.577062e+09 2.598606e+09
2.600000e+02 4.033050e+11 9.625091e+02 1.564903e+03 3.916080e+11 2.631903e+09 5.351433e+09 2.615683e+09
2.610000e+02 4.070295e+11 9.634174e+02 1.567453e+03 3.956563e+11 2.533135e+09 5.135749e+09 2.632966e+09
2.620000e+02 4.105995e+11 9.643096e+02 1.570003e+03 3.995361e+11 2.438415e+09 4.929560e+09 2.650512e+09
2.630000e+02 4.140124e+11 9.651858e+02 1.572553e+03 4.032455e+11 2.347572e+09 4.732432e+09 2.668341e+09
2.640000e+02 4.172661e+11 9.660464e+02 1.575104e+03 4.067827e+11 2.260434e+09 4.543948e+09 2.686481e+09
2.650000e+02 4.203588e+11 9.668916e+02 1.577654e+03 4.101467e+11 2.176837e+09 4.363702e+09 2.704941e+09
2.660000e+02 4.232892e+11 9.677218e+02 1.580203e+03 4.133363e+11 2.096625e+09 4.191313e+09 2.723764e+09
2.670000e+02 4.260558e+11 9.685372e+02 1.582753e+03 4.163510e+11 2.019655e+09 4.026425e+09 2.742963e+09
2.680000e+02 4.286582e+11 9.693381e+02 1.585304e+03 4.191902e+11 1.945786e+09 3.868691e+09 2.762555e+09
2.690000e+02 4.310956e+11 9.701247e+02 1.587854e+03 4.218542e+11 1.874879e+09 3.717773e+09 2.782535e+09
2.700000e+02 4.333684e+11 9.708973e+02 1.590404e+03 4.243433e+11 1.806805e+09 3.573354e+09 2.802948e+09
2.710000e+02 4.354765e+11 9.716562e+02 1.592954e+03 4.266579e+11 1.741446e+09 3.435144e+09 2.823805e+09
2.720000e+02 4.374209e+11 9.724016e+02 1.595504e+03 4.287995e+11 1.678680e+09 3.302844e+09 2.845068e+09
2.730000e+02 4.392026e+11 9.731337e+02 1.598054e+03 4.307696e+11 1.618397e+09 3.176184e+09 2.866773e+09
2.740000e+02 4.408231e+11 9.738528e+02 1.600604e+03 4.325697e+11 1.560491e+09 3.054906e+09 2.888945e+09
2.750000e+02 4.422843e+11 9.750778e+02 1.603154e+03 4.342038e+11 1.504475e+09 2.938041e+09 2.911217e+09
2.760000e+02 4.435885e+11 9.765715e+02 1.605704e+03 4.356738e+11 1.450461e+09 2.825746e+09 2.933719e+09
2.770000e+02 4.447388e+11 9.780652e+02 1.608254e+03 4.369818e+11 1.398566e+09 2.718183e+09 2.956686e+09
2.780000e+02 4.457381e+11 9.795589e+02 1.610804e+03 4.381315e+11 1.348704e+09 2.615148e+09 2.980162e+09
2.790000e+02 4.465904e+11 9.810526e+02 1.613354e+03 4.391270e+11 1.300783e+09 2.516417e+09 3.004082e+09
2.800000e+02 4.472999e+11 9.825463e+02 1.615904e+03 4.399730e+11 1.254720e+09 2.421798e+09 3.028451e+09
2.810000e+02 4.478719e+11 9.840400e+02 1.618454e+03 4.406748e+11 1.210439e+09 2.331100e+09 3.053281e+09
2.820000e+02 4.483120e+11 9.855337e+02 1.621004e+03 4.412381e+11 1.167866e+09 2.244145e+09 3.078618e+09
